,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Nov 2020,Dec 2020
Cigarettes,469.953,473.081,477.972,475.611,474.649,480.294,484.417,486.051,488.342,486.84,487.953,493.287
Tobacco products other than cigarettes,282.0,282.809,283.696,283.993,284.898,283.295,285.28,288.66,287.616,288.945,289.619,289.385
Personal care products,159.47,161.196,161.018,160.797,160.212,159.331,160.218,160.328,159.878,159.704,159.758,158.846
"Hair, dental, shaving, and miscellaneous personal care products",102.979,104.203,103.852,103.935,103.92,103.413,104.003,104.238,104.446,103.995,103.6,102.763
"Cosmetics, perfume, bath, nail preparations and implements",179.656,181.381,181.669,180.95,179.553,178.426,179.374,179.164,177.631,178.135,179.082,178.552
Miscellaneous personal goods,78.161,77.225,76.822,77.508,76.973,77.689,74.268,72.324,73.01,73.174,74.883,75.789
"Stationery, stationery supplies, gift wrap",158.22,157.885,156.979,160.488,161.606,160.865,154.797,148.788,148.618,154.031,158.367,157.606
Services less energy services,343.097,343.946,343.834,342.602,342.518,343.389,345.401,345.922,345.921,346.244,347.081,347.374
Shelter,323.414,324.439,324.57,324.471,325.128,325.539,326.304,326.745,326.938,327.305,327.746,328.161
Rent of shelter,337.152,338.219,338.532,338.407,339.141,339.55,340.377,340.818,341.089,341.256,341.812,342.224
Rent of primary residence,337.535,338.592,339.611,340.278,341.186,341.584,342.238,342.543,342.941,343.481,343.63,343.987
Lodging away from home,163.208,166.516,155.208,144.2,142.0,143.72,145.428,146.808,146.245,141.598,147.167,147.218
"Housing at school, excluding board",569.382,570.432,571.604,572.82,573.953,574.783,576.309,575.237,577.344,578.969,579.747,580.073
Other lodging away from home including hotels and motels,332.521,340.056,313.94,288.513,283.363,287.259,291.075,294.333,292.877,282.058,294.816,294.909
Owners' equivalent rent of residences,331.293,332.107,332.974,333.555,334.41,334.716,335.429,335.84,336.034,336.77,336.853,337.317
Owners' equivalent rent of primary residence,331.333,332.154,333.014,333.586,334.448,334.745,335.459,335.868,336.057,336.797,336.88,337.346
Tenants' and household insurance,151.251,151.731,150.753,151.161,150.428,150.444,150.869,150.818,150.839,151.186,151.634,151.786
Water and sewer and trash collection services,248.58,249.386,250.181,250.384,250.91,251.499,252.456,253.967,254.503,255.06,255.735,256.885
Water and sewerage maintenance,576.599,577.683,579.832,580.84,582.287,583.408,585.632,589.42,590.743,591.839,593.265,595.527
Garbage and trash collection,491.003,494.429,495.288,494.432,494.946,496.679,498.564,500.882,501.756,503.315,504.97,508.19
Household operations,197.771,199.139,199.308,199.331,199.224,199.375,200.071,201.012,201.743,202.375,201.664,205.655
Domestic services,172.336,172.336,172.336,173.064,173.577,173.452,173.936,174.738,175.204,177.23,175.357,180.933
"Moving, storage, freight expense",172.927,174.519,173.819,173.604,169.376,171.168,175.189,179.733,183.109,181.44,181.913,180.942
Medical care services,552.015,553.538,556.398,559.256,562.448,565.16,568.009,568.618,568.526,566.537,566.007,565.28
Professional services,384.908,385.205,386.478,386.463,389.323,390.533,392.389,392.114,392.518,392.724,392.887,392.914
Physicians' services,384.492,385.3,386.622,386.298,388.82,390.581,393.211,393.513,392.368,392.236,392.753,392.674
Dental services,502.125,501.514,503.691,505.659,511.235,512.391,515.334,513.696,515.404,516.711,517.18,518.263
Eyeglasses and eye care,192.022,191.943,192.006,192.051,193.05,193.585,193.121,192.852,194.419,194.162,193.143,192.93
Services by other medical professionals,240.585,240.689,240.707,241.085,241.419,242.115,242.38,242.38,243.578,243.578,243.437,243.32
Hospital and related services,909.512,909.343,912.915,917.847,918.836,921.372,923.052,924.136,930.078,925.45,928.831,931.358
Hospital services,348.876,348.447,349.824,351.554,351.931,353.239,354.039,354.463,356.426,354.37,355.555,356.615
Inpatient hospital services,339.976,337.741,339.635,341.375,342.471,343.079,343.871,343.772,345.36,343.503,344.611,345.131
Outpatient hospital services,767.594,767.372,769.127,769.38,766.361,769.088,771.243,773.832,777.66,773.298,776.276,777.626
Nursing homes and adult day services,238.374,238.761,239.37,240.452,240.524,241.032,241.997,242.572,243.19,243.944,244.954,245.271
Health insurance,172.145,174.574,176.799,178.683,180.631,182.508,184.569,186.2,183.412,181.128,179.297,177.311
Transportation services,326.894,327.983,321.625,306.368,295.31,301.378,312.352,312.391,309.478,309.88,315.403,315.103
Car and truck rental,136.82,133.776,124.521,103.879,100.285,117.859,122.54,128.188,134.506,144.509,150.802,142.355
Motor vehicle maintenance and repair,300.112,302.22,304.131,304.376,305.574,305.736,305.573,307.554,308.198,308.569,309.949,309.888
Motor vehicle body work,318.983,319.639,319.578,323.973,325.227,325.233,324.397,326.078,328.295,328.68,328.222,327.931
Motor vehicle maintenance and servicing,273.414,274.206,276.441,276.105,276.493,276.647,276.98,278.224,277.982,278.545,280.385,280.533
Motor vehicle repair,181.305,184.133,184.825,185.235,186.823,186.976,186.342,188.27,189.628,189.548,189.791,189.525
Motor vehicle insurance,570.582,573.297,576.941,535.169,487.57,512.593,560.501,563.095,543.349,531.085,536.841,544.244
Motor vehicle fees,195.981,196.341,196.743,194.649,194.421,193.609,194.807,195.451,197.065,196.587,196.012,195.481
State motor vehicle registration and license fees,184.163,184.388,184.576,184.536,184.853,184.853,185.484,185.484,185.486,185.496,185.702,185.678
Parking and other fees,214.92,215.462,216.153,211.297,210.333,208.479,210.404,211.923,215.751,214.627,213.018,211.789
Parking fees and tolls,241.713,242.35,243.053,238.923,238.42,234.868,236.951,238.154,243.766,243.096,242.963,242.14
Automobile service clubs,120.924,121.091,122.599,117.372,116.791,121.116,121.211,121.472,121.761,121.755,121.316,119.935
Public transportation,260.308,260.836,238.737,216.384,208.126,211.284,218.454,215.896,218.608,224.347,229.942,228.398
Airline fares,268.081,267.28,233.583,198.065,188.394,193.295,203.79,206.295,202.206,214.908,222.412,217.323
Other intercity transportation,156.623,156.282,149.968,149.229,149.634,147.408,146.77,149.188,150.426,152.541,157.468,160.138
Ship fare,62.558,62.033,61.143,60.806,60.438,59.397,59.023,59.017,58.57,59.407,60.947,63.244
Intracity transportation,323.882,324.988,325.612,325.612,320.218,318.72,318.165,296.674,322.913,309.809,309.338,309.029
Intracity mass transit,130.692,130.941,130.941,130.941,128.52,128.096,128.344,115.164,130.47,118.367,118.171,118.139
Recreation services,126.8,126.227,127.047,127.245,128.961,127.836,126.352,127.017,127.607,128.475,129.105,128.409
Video and audio services,130.704,129.898,130.015,130.783,131.28,131.299,132.977,133.627,133.927,134.279,134.016,134.539
Cable and satellite television service,493.562,490.526,490.842,493.851,496.401,496.117,502.228,504.769,505.654,507.946,508.722,510.914
"Video discs and other media, including rental of video",69.672,69.229,69.544,69.734,68.645,69.366,70.716,70.887,71.553,69.794,66.089,65.931
Video discs and other media,33.912,33.536,33.84,34.153,33.368,33.999,34.714,35.232,35.839,34.375,32.284,32.056
Rental of video discs and other media,134.781,135.042,136.147,136.301,136.496,136.91,136.921,137.207,137.014,137.078,136.227,137.522
Pet services including veterinary,259.49,258.344,259.095,259.935,261.017,261.455,262.646,263.572,264.264,265.754,266.239,266.522
Pet services,199.04,200.243,200.489,200.294,201.041,201.065,199.656,199.887,200.943,202.509,202.002,202.153
Veterinarian services,273.637,271.81,273.019,273.711,274.718,275.587,277.687,279.04,279.839,281.409,282.199,282.506
Photographers and photo processing,118.892,122.303,122.544,120.201,119.533,122.546,122.215,121.448,122.913,123.711,123.269,120.926
Other recreation services,174.592,173.85,175.8,175.588,179.584,176.366,170.726,171.803,172.948,174.665,176.502,174.21
"Club membership for shopping clubs, fraternal, or other organizations, or participant sports fees",146.473,146.023,147.256,147.657,151.327,145.961,139.042,139.393,143.042,144.308,144.728,145.185
Admissions,394.002,390.983,397.631,395.211,404.148,404.36,390.875,395.143,393.496,397.443,404.764,390.786
"Admission to movies, theaters, and concerts",187.781,189.097,190.094,188.129,192.183,193.557,185.452,188.142,187.431,187.632,189.093,189.497
Education and communication services,112.428,112.552,112.647,112.803,112.906,112.822,114.237,114.328,114.349,114.478,114.504,114.597
"Tuition, other school fees, and childcare",772.004,774.44,776.491,778.078,779.271,780.088,781.689,778.826,776.68,776.98,778.162,779.987
College tuition and fees,874.218,875.872,877.865,879.316,880.759,881.544,884.101,877.705,873.205,872.767,873.975,875.994
Elementary and high school tuition and fees,880.519,882.724,886.019,890.359,894.814,892.93,890.969,891.742,893.108,893.941,895.568,898.345
Day care and preschool,308.264,309.986,310.537,310.93,310.919,311.966,313.132,312.61,312.56,313.142,313.898,314.736
Technical and business school tuition and fees,255.681,256.24,256.727,258.453,258.594,260.06,260.988,260.358,259.552,261.165,261.606,261.758
Postage and delivery services,199.18,200.422,200.753,201.249,201.595,202.278,203.029,203.617,204.316,204.791,205.472,205.964
Postage,313.486,315.608,316.297,317.482,318.413,319.333,320.198,321.135,322.1,323.078,324.065,324.439
Delivery services,320.499,320.746,319.519,316.085,312.611,315.321,319.852,320.669,323.208,321.565,323.545,328.533
Telephone services,90.529,90.417,90.416,90.621,90.607,90.481,93.178,93.752,93.953,94.212,94.117,94.057
Wireless telephone services,46.404,46.302,46.295,46.34,46.373,46.322,48.007,48.374,48.45,48.427,48.352,48.306
Land,127.489,127.916,127.995,129.071,128.518,128.169,128.038,127.899,128.526,130.917,131.126,131.237
Internet services and electronic information providers,78.479,78.468,78.239,77.991,78.117,77.693,77.995,78.076,78.409,78.342,78.254,78.213
Other personal services,127.065,127.425,127.687,127.552,127.66,128.27,129.02,128.962,129.282,129.205,128.795,129.959
Personal care services,277.341,278.218,278.442,278.442,278.889,282.026,286.383,285.587,286.396,287.565,287.932,290.861
Haircuts and other personal care services,169.223,169.758,169.895,169.895,170.168,172.082,174.74,174.255,174.748,175.462,175.685,177.473
Miscellaneous personal services,456.107,457.195,457.644,456.208,456.107,456.27,455.809,457.001,458.556,456.859,454.2,458.101
Legal services,367.022,369.233,369.233,367.647,367.911,368.924,368.854,369.22,369.317,369.071,369.112,369.112
Funeral expenses,342.759,341.365,341.245,342.173,342.951,343.031,343.271,343.608,344.59,344.749,344.931,345.188
Laundry and dry cleaning services,179.047,179.794,179.985,179.856,179.586,179.705,179.81,180.018,180.839,180.578,181.128,181.813
Apparel services other than laundry and dry cleaning,202.346,203.895,207.22,208.413,207.348,207.563,207.497,208.307,210.295,209.782,208.461,209.372
Financial services,371.646,373.591,373.743,371.749,371.344,370.629,368.808,370.256,371.057,367.126,358.027,368.061
Checking account and other bank services,172.617,174.058,176.076,176.121,175.983,175.899,175.899,175.899,175.575,169.913,155.795,168.982
Tax return preparation and other accounting fees,261.275,261.585,262.909,260.387,261.064,259.709,258.772,259.103,260.876,260.786,261.952,260.387
All items less food,258.508,258.624,257.214,254.223,253.765,255.182,257.103,258.182,258.79,258.845,259.451,260.403
All items less shelter,236.582,236.525,234.98,232.212,231.792,233.619,235.403,236.553,237.205,237.23,237.742,238.901
All items less food and shelter,230.258,229.971,227.875,223.598,222.645,224.511,226.947,228.311,229.104,229.02,229.701,230.893
"All items less food, shelter, and energy",234.9,235.264,234.781,233.029,232.445,233.176,235.272,236.603,237.284,237.142,237.806,237.938
"All items less food, shelter, energy, and used cars and trucks",241.059,241.401,240.764,238.917,238.333,239.291,241.246,241.932,241.679,241.537,242.46,242.782
All items less medical care,246.702,246.917,245.671,243.43,243.172,244.579,246.057,247.042,247.597,247.821,248.365,249.409
All items less energy,264.893,265.539,265.44,265.013,265.164,265.937,267.169,268.074,268.515,268.617,269.083,269.427
Commodities,186.253,186.019,184.067,181.187,181.044,183.133,184.264,185.648,186.429,186.25,186.242,187.868
"Commodities less food, energy, and used cars and trucks",145.601,145.779,145.051,143.965,143.71,144.312,144.97,145.576,145.394,145.023,145.474,145.999
Commodities less food,153.372,152.744,149.913,144.861,144.026,146.185,148.025,149.754,150.757,150.356,150.425,152.195
Commodities less food and beverages,149.956,149.295,146.372,141.194,140.29,142.484,144.383,146.131,147.167,146.735,146.777,148.588
Services,330.485,331.212,331.029,329.918,329.762,330.526,332.37,332.816,333.084,333.507,334.45,334.742
Services less rent of shelter,347.801,348.513,347.951,345.8,344.769,345.794,348.898,349.486,349.737,350.301,352.005,351.936
Services less medical care services,313.494,314.273,313.936,312.692,312.138,312.706,314.448,314.955,315.311,315.94,317.043,317.339
Durables,103.932,104.191,104.105,103.845,104.018,103.845,104.822,106.678,108.046,108.487,108.362,108.389
Nondurables,228.782,228.551,225.53,219.841,219.275,223.15,224.833,225.675,225.352,225.149,225.276,228.461
Nondurables less food,201.584,200.461,194.427,181.436,179.081,184.529,188.179,189.445,189.003,188.202,188.252,192.939
Nondurables less food and beverages,198.364,197.076,190.615,176.768,174.161,179.908,183.825,185.116,184.695,183.785,183.733,188.692
"Nondurables less food, beverages, and apparel",248.797,246.624,237.607,218.293,215.775,224.007,229.544,231.075,230.811,230.068,229.595,236.572
Nondurables less food and apparel,248.003,246.212,238.156,220.784,218.643,226.126,231.059,232.538,232.278,231.681,231.391,237.695
Housing,269.791,270.399,270.292,270.299,270.746,271.174,271.869,272.453,272.875,273.193,273.933,274.375
Education and communication,139.043,139.246,139.396,139.591,139.694,139.536,141.098,141.251,141.012,141.136,141.204,141.388
Education,268.685,269.513,270.221,270.847,271.276,271.486,272.043,271.163,270.461,270.59,270.936,271.597
Communication,73.739,73.75,73.737,73.785,73.789,73.591,74.965,75.307,75.233,75.324,75.313,75.343
Information and information processing,69.685,69.682,69.666,69.708,69.708,69.508,70.838,71.164,71.085,71.169,71.15,71.174
"Information technology, hardware and services",7.357,7.372,7.367,7.35,7.352,7.312,7.315,7.329,7.277,7.265,7.273,7.288
Recreation,122.151,121.748,121.899,121.634,122.708,121.945,121.223,122.112,122.322,122.813,123.349,123.005
Video and audio,106.121,105.53,105.672,106.085,106.301,106.168,107.304,107.992,108.303,108.532,108.267,108.674
"Pets, pet products and services",180.647,180.739,180.4,179.499,179.684,178.905,179.405,180.916,179.973,179.667,180.635,181.248
Photography,73.737,76.398,76.491,75.413,74.736,75.985,76.052,75.387,75.485,75.715,75.648,75.348
Food and beverages,260.325,261.27,262.183,265.861,267.786,269.328,268.245,268.474,268.465,268.994,268.849,269.769
Domestically produced farm food,250.55,251.619,252.959,259.146,262.096,264.061,260.921,260.616,259.505,259.678,259.481,260.031
Other services,364.647,364.468,365.443,365.8,367.607,366.66,368.023,368.822,369.573,370.58,371.06,371.057
Apparel less footwear,115.878,116.51,114.4,108.773,106.006,107.86,108.969,109.768,109.431,107.388,108.226,110.046
Fuels and utilities,244.803,243.955,242.519,241.929,241.01,241.249,241.688,241.907,244.636,246.153,248.367,249.351
Household energy,201.452,200.311,198.53,197.832,196.687,196.792,197.017,196.855,199.695,201.205,203.445,204.215
Medical care,511.579,512.118,514.275,516.35,518.888,521.135,523.255,523.601,523.549,521.328,520.673,519.771
Transportation,211.331,210.184,204.062,192.079,188.55,193.282,198.883,201.535,203.506,203.59,204.127,207.037
Private transportation,206.976,205.714,200.763,189.573,186.397,191.223,196.689,199.705,201.615,201.293,201.465,204.683
New and used motor vehicles,98.655,98.847,98.768,98.442,98.399,98.182,99.443,101.351,103.843,104.262,104.301,103.848
Utilities and public transportation,220.299,220.66,217.986,215.562,214.068,213.876,216.642,216.965,218.91,221.162,222.954,222.603
Household furnishings and operations,123.999,124.137,124.017,124.605,125.112,125.665,126.265,127.402,127.328,126.919,127.748,127.986
Other goods and services,458.309,460.356,461.516,461.161,460.719,462.366,463.7,462.962,463.834,463.766,463.8,466.307
Personal care,237.024,237.978,238.175,238.181,237.997,238.444,238.852,238.184,238.535,238.6,238.477,239.497
