,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019
"Propane, kerosene, and firewood",328.853,330.847,335.035,332.679,334.442,330.46,329.905,327.06,321.455,323.01,322.774,332.34
Motor fuel,213.807,220.547,232.073,242.965,240.81,233.771,237.264,231.72,228.206,234.236,237.176,244.563
Gasoline ,212.286,219.133,230.748,241.861,239.6,232.527,236.115,230.488,226.972,233.134,236.012,243.442
"Gasoline, unleaded regular",207.211,214.122,226.127,237.127,234.565,227.416,231.036,225.394,221.709,228.294,230.654,238.378
"Gasoline, unleaded midgrade",233.671,236.677,247.631,259.23,257.526,251.181,255.094,249.215,247.074,251.791,256.092,262.935
"Gasoline, unleaded premium",231.756,233.611,243.323,255.739,253.927,248.044,249.711,246.5,244.43,250.083,253.448,258.182
Other motor fuels,218.433,219.898,224.295,226.173,225.679,221.826,221.855,219.557,216.778,217.317,219.679,223.36
Energy services,205.571,204.244,204.29,203.926,202.884,201.996,202.441,202.066,202.331,203.773,204.271,203.782
Electricity,213.832,213.439,213.798,213.833,212.939,211.822,212.943,212.421,212.878,214.081,214.43,214.063
Utility ,177.726,173.809,172.975,171.499,170.068,169.841,168.381,168.425,168.145,170.224,171.129,170.311
All items less food and energy,260.566,260.898,261.317,261.835,262.199,262.925,263.587,264.18,264.682,264.987,265.501,265.832
Commodities less food and energy commodities,144.498,144.325,144.114,144.025,144.008,144.414,144.635,144.788,144.858,144.341,144.207,144.147
Household furnishings and supplies,90.521,90.791,90.741,90.33,90.604,90.78,90.997,90.9,91.173,90.877,90.788,90.598
Window and floor coverings and other linens,58.335,57.187,57.44,56.641,56.31,55.642,56.465,56.929,57.027,55.923,54.557,55.132
Floor coverings,113.14,112.021,114.085,114.065,114.559,115.985,116.775,115.552,113.535,111.861,111.1,111.938
Window coverings,62.984,63.763,62.941,61.761,59.697,60.287,61.605,62.813,63.276,60.525,60.762,64.161
Other linens,45.195,43.747,43.944,43.176,43.104,41.946,42.61,43.121,43.433,42.825,41.161,41.088
Furniture and bedding,112.313,113.192,113.775,113.17,113.765,114.718,114.901,112.971,113.987,114.079,113.699,113.223
Bedroom furniture,129.628,129.516,128.854,128.378,128.443,129.652,130.64,129.329,130.356,130.971,130.478,130.664
"Living room, kitchen, and dining room furniture",86.55,87.085,87.419,86.921,87.927,89.049,89.306,87.94,89.128,88.449,88.454,87.574
Other furniture,67.679,70.147,72.632,72.006,71.744,71.163,69.875,67.086,66.801,68.134,67.142,67.271
Appliances,78.583,77.828,77.488,77.652,77.177,77.449,76.946,76.778,77.438,77.062,77.768,77.528
Major appliances,86.732,86.412,85.339,85.538,85.223,85.019,84.259,83.614,84.194,82.27,82.503,80.409
Laundry equipment,97.807,96.094,94.96,95.955,95.43,94.788,94.653,91.723,91.663,91.814,92.521,90.802
Other appliances,67.049,66.561,66.305,66.321,65.806,66.273,66.123,65.74,66.857,67.559,68.324,68.874
Other household equipment and furnishings,50.835,51.151,50.592,50.435,50.745,50.916,50.7,50.861,50.825,50.714,50.419,50.241
"Clocks, lamps, and decorator items",37.267,38.238,37.759,37.111,37.493,36.758,36.251,36.608,36.389,37.263,37.395,36.253
Indoor plants and flowers,130.798,130.909,130.42,130.762,131.141,132.211,133.87,132.876,132.242,132.095,132.19,131.769
Dishes and flatware,46.719,46.262,44.549,45.612,47.882,50.789,50.486,50.339,50.511,49.288,47.272,46.697
Nonelectric cookware and tableware,84.101,84.19,83.405,82.003,81.628,82.323,80.953,78.928,79.092,78.971,79.075,79.945
"Tools, hardware, outdoor equipment and supplies",90.533,91.213,90.69,90.307,90.193,90.335,90.81,91.468,92.065,91.7,90.632,90.886
"Tools, hardware and supplies",99.876,100.679,99.988,99.355,99.76,100.294,100.125,99.996,100.587,100.345,98.118,97.398
Outdoor equipment and supplies,86.022,86.921,86.538,86.049,85.495,85.553,86.453,87.357,88.123,87.665,87.072,87.603
Housekeeping supplies,189.417,189.213,190.492,190.376,190.238,190.603,190.412,189.178,189.269,189.53,190.082,190.155
Household cleaning products,120.03,120.191,121.192,121.315,121.241,121.075,120.929,120.55,120.589,120.419,120.526,121.04
Household paper products,173.17,172.648,175.682,174.78,175.901,176.8,175.352,174.273,175.07,175.848,178.201,178.361
Miscellaneous household products,120.403,120.118,119.7,119.831,119.052,119.438,120.034,118.756,118.449,118.713,118.341,117.796
Apparel,125.572,125.671,123.984,123.296,123.338,124.494,124.674,124.783,124.45,122.381,123.075,123.173
Men's and boys' apparel,118.59,120.487,118.805,117.831,117.231,118.177,118.577,118.962,120.635,118.441,117.463,117.198
Men's apparel,119.271,121.039,120.69,119.964,119.47,119.739,120.275,121.227,122.428,120.425,119.466,118.965
"Men's suits, sport coats, and outerwear",107.607,109.149,109.962,107.539,106.468,105.352,109.674,111.59,110.399,109.72,109.191,103.665
"Men's underwear, nightwear, swimwear, and accessories",149.069,156.856,155.795,154.817,157.346,155.388,152.519,157.029,161.218,159.172,155.353,151.248
Men's shirts and sweaters,76.299,77.345,77.098,75.701,75.623,76.271,76.803,76.884,77.333,76.149,74.646,75.526
